rollout_id,mb_idx,rank0_tokens,rank1_tokens,rank2_tokens,rank3_tokens
14,2,8347,7295,8347,8347
14,3,8347,8167,8287,8287
14,4,8287,8347,8287,8287
14,5,8287,8347,8287,8378
14,6,8378,8287,8378,8378
14,7,8378,8378,6076,8378
14,8,6109,8378,6155,6051
14,9,7336,6432,7945,7652
14,10,8119,6134,8408,8447
14,11,7723,7908,8447,8447
14,12,8434,8949,8447,7089
14,13,8447,5973,8409,6557
14,14,8353,8447,4815,5926
14,15,8353,8246,7259,8409
14,16,8357,8409,7335,8176
14,17,8357,6077,7844,8357
14,18,6513,7593,8353,8357
14,19,8722,8353,8357,8090
14,20,6229,8357,8357,8377
14,21,8327,8357,8377,8377
14,22,4816,8377,8377,8347
14,23,4879,8377,8347,8347
14,24,8377,8347,8347,8347
14,25,8377,8347,4995,4699
14,26,8347,8328,5717,8328
14,27,8328,8328,5393,8328
14,28,8328,5633,8328,5022
14,29,5755,5392,8328,6237
14,30,5473,4173,6834,5456
15,0,8364,8364,8364,8364
15,1,8364,8364,8364,8364
15,2,8593,7769,7861,8340
15,3,8166,8481,9131,7745
15,4,8354,8903,8934,8354
15,5,9046,8354,8578,8362
15,6,8513,8769,8354,8717
15,7,8777,8169,8786,8329
15,8,8329,8329,8329,8329
15,9,8329,8329,8329,8835
15,10,7852,7625,5881,7401
15,11,8910,8264,8338,9132
15,12,6526,5679,8711,8971
15,13,7616,6518,8175,6556
15,14,8305,9114,6995,5924
15,15,7315,7056,7385,8579
15,16,8354,8354,7674,8262
15,17,8354,8354,8354,8354
15,18,8337,8337,8354,7919
15,19,8337,8337,8337,8337
15,20,4830,8633,8337,8337
15,21,4970,4434,8329,8329
15,22,8329,8329,8329,8329
15,23,8329,8329,1427,1416
16,0,9117,8055,8369,8195
16,1,8385,8494,8586,8369
16,2,8385,8385,8385,8973
16,3,8363,8385,8385,8385
16,4,8363,8363,8363,8385
16,5,8192,8363,8363,8363
16,6,9168,8893,9036,8335
16,7,8381,8381,8283,8602
16,8,8381,8381,4618,8539
16,9,8758,9143,8381,8381
16,10,8325,8928,8381,8381
16,11,8940,8325,9178,7671
16,12,8325,8674,8325,8325
16,13,6498,8092,8325,8325
16,14,7687,8325,8325,8325
16,15,8692,8325,6696,8709
16,16,8334,9099,9092,6917
16,17,8464,8360,5894,9120
16,18,8342,6844,8438,9192
16,19,5767,6138,8008,5323
16,20,4827,6224,8909,5665
16,21,6110,5945,6362,6047
16,22,6911,4591,6011,6185
17,0,8349,8349,8349,8349
17,1,8349,8460,8349,8349
17,2,8349,8881,8365,8365
17,3,8365,8365,8357,9037
17,4,8200,8357,8357,8357
17,5,8357,8357,8381,8357
17,6,8357,8185,8329,7767
17,7,8381,8381,9081,8381
17,8,8372,7365,7393,8381
17,9,8381,8329,8305,8329
17,10,8329,3282,8051,8329
17,11,8329,8305,8305,8305
17,12,4070,7537,8424,8253
17,13,8305,7114,8353,8780
17,14,7193,8737,8353,8353
17,15,9054,7826,8334,8353
17,16,8711,8353,8334,8334
17,17,7556,8353,8334,8334
17,18,6118,8353,7561,5281
17,19,8353,8334,5725,7146
17,20,8334,8334,8600,8312
17,21,8014,5595,8312,7425
17,22,5640,8312,6243,8564
17,23,8312,8312,8564,8564
17,24,8564,8564,8564,5880
17,25,8564,8564,3580,5017
18,0,6388,8322,8322,9086
18,1,8322,8013,8258,7967
18,2,8295,8322,7482,7306
18,3,6599,7956,7220,8336
18,4,8336,8283,8336,8208
18,5,8336,8336,6105,5976
18,6,8336,8336,8294,5744
18,7,5284,8336,8157,8294
18,8,8846,9024,5441,6376
18,9,8294,5817,5553,5381
18,10,8294,8294,4773,4725
18,11,8136,8294,4661,5510
18,12,5393,8294,8320,6750
18,13,6105,6737,8334,8320
18,14,4718,4885,8334,8320
18,15,8320,6215,8334,8334
18,16,8320,5275,8360,8334
18,17,8320,8320,8360,8334
18,18,8334,8320,8360,8360
18,19,8360,8334,8297,8360
18,20,8297,8360,8297,8232
18,21,7242,8297,8297,8297
18,22,8284,6621,8284,8297
18,23,6674,6828,6820,8297
18,24,5613,6055,6430,8284
18,25,8280,5477,5272,8284
18,26,8280,8280,6326,6408
18,27,7666,8280,8280,8280
18,28,8317,8317,8280,8317
18,29,8317,8317,8317,8317
18,30,3915,3676,8317,3186
19,0,8335,8335,8335,8335
19,1,8335,8335,8335,8335
19,2,8406,8406,8406,8406
19,3,8406,8406,8406,8406
19,4,8281,8281,8281,8281
19,5,9059,8281,8915,8281
19,6,8341,8341,9173,9202
19,7,8341,8341,8015,8951
19,8,8337,8337,8341,8341
19,9,8337,7971,8341,8341
19,10,8911,8337,8337,8337
