rollout_id,rank,mb_idx,total_tokens
1,2,26,3780
1,3,0,8578
1,3,1,8394
1,3,2,8989
1,3,3,8389
1,3,4,8389
1,3,5,7998
1,3,6,6853
1,3,7,8197
1,3,8,6244
1,3,9,8351
1,3,10,8386
1,3,11,8386
1,3,12,5548
1,3,13,8351
1,3,14,8351
1,3,15,8334
1,3,16,8334
1,3,17,8370
1,3,18,8370
1,3,19,8301
1,3,20,7472
1,3,21,8335
1,3,22,8335
1,3,23,8381
1,3,24,8381
1,3,25,5671
1,3,26,2356
2,0,0,8525
2,0,1,8305
2,0,2,8397
2,0,3,8397
2,0,4,8382
2,0,5,8382
2,0,6,7659
2,0,7,9061
2,0,8,8675
2,0,9,8428
2,0,10,8428
2,0,11,8975
2,0,12,8331
2,0,13,7303
2,0,14,8023
2,0,15,8286
2,0,16,8889
2,0,17,7904
2,0,18,8334
2,0,19,8293
2,0,20,8293
2,0,21,8293
2,0,22,5547
2,0,23,8294
2,0,24,8509
2,0,25,8509
2,1,0,9124
2,1,1,8305
2,1,2,8397
2,1,3,8397
2,1,4,8382
2,1,5,8382
2,1,6,8428
2,1,7,8428
2,1,8,7623
2,1,9,8331
2,1,10,8742
2,1,11,8991
2,1,12,8286
2,1,13,8286
2,1,14,8286
2,1,15,7879
2,1,16,8334
2,1,17,7352
2,1,18,8293
2,1,19,8885
2,1,20,5172
2,1,21,8294
2,1,22,8294
2,1,23,8509
2,1,24,8509
2,1,25,8509
2,2,0,8397
2,2,1,8397
2,2,2,8382
2,2,3,8382
2,2,4,8486
2,2,5,8428
2,2,6,8428
2,2,7,9124
2,2,8,8554
2,2,9,7804
2,2,10,8286
2,2,11,8286
2,2,12,8334
2,2,13,8606
2,2,14,8976
2,2,15,7631
2,2,16,7277
2,2,17,8334
2,2,18,8293
2,2,19,8293
2,2,20,8906
2,2,21,5411
2,2,22,8294
2,2,23,8294
2,2,24,8294
2,2,25,8509
2,3,0,8920
2,3,1,8606
2,3,2,8818
2,3,3,9042
2,3,4,8397
2,3,5,8397
2,3,6,8382
2,3,7,8382
2,3,8,7983
2,3,9,8423
2,3,10,8428
2,3,11,8428
2,3,12,8319
2,3,13,7713
2,3,14,9163
2,3,15,8286
2,3,16,8286
2,3,17,7503
2,3,18,8334
2,3,19,8293
2,3,20,8293
2,3,21,4102
2,3,22,8294
2,3,23,8294
2,3,24,8509
2,3,25,8509
3,0,0,9009
3,0,1,8064
3,0,2,8369
3,0,3,6792
3,0,4,8369
3,0,5,7140
3,0,6,8559
3,0,7,9141
3,0,8,6065
3,0,9,8304
3,0,10,8304
3,0,11,8327
3,0,12,8327
3,0,13,6455
3,0,14,8293
3,0,15,8293
3,0,16,8495
3,0,17,8495
3,0,18,8445
3,0,19,8445
3,0,20,7216
3,0,21,8290
3,0,22,7588
3,0,23,8314
3,0,24,8314
3,0,25,8314
3,1,0,8369
3,1,1,7201
3,1,2,8901
3,1,3,9083
3,1,4,8997
3,1,5,8111
3,1,6,6417
3,1,7,8304
3,1,8,8304
3,1,9,8327
3,1,10,8327
3,1,11,8451
3,1,12,6983
3,1,13,8293
3,1,14,8293
3,1,15,8495
3,1,16,8495
3,1,17,8445
3,1,18,8445
3,1,19,8320
3,1,20,5888
3,1,21,8290
3,1,22,8290
3,1,23,6671
3,1,24,8314
3,1,25,7712
3,2,0,8369
3,2,1,9022
3,2,2,7094
3,2,3,8304
3,2,4,6245
3,2,5,8385
3,2,6,8304
3,2,7,8304
3,2,8,8327
3,2,9,8327
3,2,10,9117
3,2,11,7389
3,2,12,8293
3,2,13,8293
3,2,14,8495
3,2,15,8495
3,2,16,8445
3,2,17,8445
